date	hour	nb_streamer	nb_spec
15-Oct-11	16	14	382
15-Oct-11	17	11	520
15-Oct-11	18	13	536
15-Oct-11	19	9	868
15-Oct-11	20	8	1993
15-Oct-11	21	12	1727
15-Oct-11	22	9	126
15-Oct-11	23	6	72
16-Oct-11	0	7	99
16-Oct-11	1	11	116
16-Oct-11	2	13	97
16-Oct-11	3	7	72
16-Oct-11	4	8	85
16-Oct-11	5	6	19
16-Oct-11	6	4	14
16-Oct-11	7	4	24
16-Oct-11	8	5	68
16-Oct-11	9	4	65
16-Oct-11	10	5	82
16-Oct-11	11	3	63
16-Oct-11	12	2	64
16-Oct-11	13	4	73
16-Oct-11	14	5	72
16-Oct-11	15	4	67
16-Oct-11	16	7	83
16-Oct-11	17	8	104
16-Oct-11	18	7	247
16-Oct-11	19	6	123
16-Oct-11	20	6	107
16-Oct-11	21	4	106
16-Oct-11	22	5	84
16-Oct-11	23	5	79
17-Oct-11	0	6	70
17-Oct-11	1	4	42
17-Oct-11	2	5	33
17-Oct-11	3	3	12
17-Oct-11	4	3	12
17-Oct-11	5	5	11
17-Oct-11	6	4	81
17-Oct-11	7	2	62
17-Oct-11	8	1	63
17-Oct-11	9	2	86
17-Oct-11	10	3	75
17-Oct-11	11	2	93
17-Oct-11	12	4	99
17-Oct-11	13	4	143
17-Oct-11	14	3	118
17-Oct-11	15	4	193
17-Oct-11	16	4	237
17-Oct-11	17	6	238
17-Oct-11	18	7	201
17-Oct-11	19	10	187
17-Oct-11	20	4	132
17-Oct-11	21	2	101
17-Oct-11	22	5	86
17-Oct-11	23	5	91
18-Oct-11	0	7	100
18-Oct-11	1	8	83
18-Oct-11	2	5	15
18-Oct-11	3	5	103
18-Oct-11	4	6	55
18-Oct-11	5	11	77
18-Oct-11	6	8	106
18-Oct-11	7	6	109
18-Oct-11	8	6	115
18-Oct-11	9	5	107
18-Oct-11	10	3	78
18-Oct-11	11	1	96
18-Oct-11	12	1	97
18-Oct-11	13	1	114
18-Oct-11	14	1	104
18-Oct-11	15	4	155
18-Oct-11	16	9	146
18-Oct-11	17	8	126
18-Oct-11	18	6	411
18-Oct-11	19	6	469
18-Oct-11	20	5	138
18-Oct-11	21	6	89
18-Oct-11	22	6	73
18-Oct-11	23	9	91
19-Oct-11	0	4	70
19-Oct-11	1	3	77
19-Oct-11	2	3	61
19-Oct-11	3	6	78
19-Oct-11	4	6	109
19-Oct-11	5	5	90
19-Oct-11	6	3	56
19-Oct-11	7	2	10
19-Oct-11	8	2	80
19-Oct-11	9	3	88
19-Oct-11	10	3	81
19-Oct-11	11	4	92
19-Oct-11	12	4	109
19-Oct-11	13	5	105
19-Oct-11	14	3	121
19-Oct-11	15	5	129
19-Oct-11	16	6	127
19-Oct-11	17	5	94
19-Oct-11	18	6	190
19-Oct-11	19	7	245
19-Oct-11	20	6	195
19-Oct-11	21	5	75
19-Oct-11	22	7	74
19-Oct-11	23	7	77
20-Oct-11	0	9	69
20-Oct-11	1	8	73
20-Oct-11	2	6	76
20-Oct-11	3	11	92
20-Oct-11	4	11	124
20-Oct-11	5	10	117
20-Oct-11	6	5	73
20-Oct-11	7	2	71
20-Oct-11	8	2	85
20-Oct-11	9	4	64
20-Oct-11	10	3	85
20-Oct-11	11	2	99
20-Oct-11	12	4	73
20-Oct-11	13	4	125
20-Oct-11	14	3	136
20-Oct-11	15	2	133
20-Oct-11	16	6	94
20-Oct-11	17	6	96
20-Oct-11	18	7	103
20-Oct-11	19	6	120
20-Oct-11	20	5	115
20-Oct-11	21	7	91
20-Oct-11	22	9	76
20-Oct-11	23	8	95
21-Oct-11	0	5	83
21-Oct-11	1	4	139
21-Oct-11	2	3	222
21-Oct-11	3	5	221
21-Oct-11	4	7	173
21-Oct-11	5	12	132
21-Oct-11	6	5	21
21-Oct-11	7	7	20
21-Oct-11	8	5	85
21-Oct-11	9	5	96
21-Oct-11	10	3	120
21-Oct-11	11	3	91
21-Oct-11	12	4	114
21-Oct-11	13	3	115
21-Oct-11	14	4	93
21-Oct-11	15	3	102
21-Oct-11	16	4	202
21-Oct-11	17	5	236
21-Oct-11	18	8	245
21-Oct-11	19	12	731
21-Oct-11	20	9	96
21-Oct-11	21	12	462
21-Oct-11	22	11	125
21-Oct-11	23	9	140
22-Oct-11	0	8	91
