date	hour	nb_streamer	nb_spec
21-Oct-11	7	3	10
21-Oct-11	8	3	7
21-Oct-11	9	1	3
21-Oct-11	10	1	4
21-Oct-11	11	1	2
21-Oct-11	13	2	3
21-Oct-11	14	2	4
21-Oct-11	15	1	3
21-Oct-11	16	1	4
21-Oct-11	17	3	13
21-Oct-11	18	6	10
21-Oct-11	19	5	25
21-Oct-11	20	5	23
21-Oct-11	21	4	46
21-Oct-11	22	5	44
21-Oct-11	23	8	80
22-Oct-11	0	5	46
22-Oct-11	1	2	28
22-Oct-11	2	1	3
22-Oct-11	3	3	13
22-Oct-11	4	2	11
22-Oct-11	5	1	6
22-Oct-11	6	1	3
22-Oct-11	7	1	1
22-Oct-11	8	1	4
22-Oct-11	9	1	9
22-Oct-11	10	1	11
22-Oct-11	11	1	12
22-Oct-11	12	1	1
22-Oct-11	13	2	9
22-Oct-11	14	2	15
22-Oct-11	15	2	30
22-Oct-11	16	3	27
22-Oct-11	17	3	6
22-Oct-11	18	2	3
22-Oct-11	19	3	71
22-Oct-11	20	4	113
22-Oct-11	21	4	117
22-Oct-11	22	3	119
22-Oct-11	23	2	112
23-Oct-11	0	1	7
23-Oct-11	1	2	13
23-Oct-11	2	1	2
23-Oct-11	3	1	3
23-Oct-11	4	3	11
23-Oct-11	5	5	14
23-Oct-11	6	4	13
23-Oct-11	7	3	15
23-Oct-11	8	2	19
23-Oct-11	9	1	17
23-Oct-11	10	3	69
23-Oct-11	11	3	105
23-Oct-11	12	2	170
23-Oct-11	13	2	72
23-Oct-11	14	2	12
23-Oct-11	15	1	6
23-Oct-11	16	1	9
23-Oct-11	17	2	10
23-Oct-11	18	3	19
23-Oct-11	19	6	33
23-Oct-11	20	7	38
23-Oct-11	21	5	31
23-Oct-11	22	6	30
23-Oct-11	23	3	17
24-Oct-11	0	2	7
24-Oct-11	1	2	9
24-Oct-11	2	3	9
24-Oct-11	3	3	9
24-Oct-11	4	3	9
24-Oct-11	5	2	9
24-Oct-11	6	3	11
24-Oct-11	7	4	32
24-Oct-11	8	5	53
24-Oct-11	9	4	49
24-Oct-11	10	4	53
24-Oct-11	11	1	22
24-Oct-11	14	2	8
24-Oct-11	15	2	12
24-Oct-11	16	1	2
24-Oct-11	17	2	8
24-Oct-11	18	3	13
24-Oct-11	19	3	12
24-Oct-11	20	4	21
24-Oct-11	21	4	24
24-Oct-11	22	2	15
24-Oct-11	23	2	13
25-Oct-11	0	5	27
25-Oct-11	1	5	19
25-Oct-11	2	4	21
25-Oct-11	3	6	30
25-Oct-11	4	7	38
25-Oct-11	5	5	23
25-Oct-11	6	4	8
25-Oct-11	7	3	10
25-Oct-11	8	2	8
25-Oct-11	9	1	3
25-Oct-11	12	2	5
25-Oct-11	13	1	5
25-Oct-11	14	1	13
25-Oct-11	15	1	18
25-Oct-11	17	1	3
25-Oct-11	18	2	13
25-Oct-11	19	2	24
25-Oct-11	20	4	35
25-Oct-11	21	4	33
25-Oct-11	22	4	14
25-Oct-11	23	4	19
26-Oct-11	0	2	6
26-Oct-11	1	2	3
26-Oct-11	2	2	3
26-Oct-11	3	4	19
26-Oct-11	4	3	27
26-Oct-11	5	3	11
26-Oct-11	6	2	2
26-Oct-11	7	2	17
26-Oct-11	8	2	30
26-Oct-11	9	1	29
26-Oct-11	10	2	37
26-Oct-11	11	3	76
26-Oct-11	12	2	84
26-Oct-11	13	1	65
26-Oct-11	14	1	62
26-Oct-11	15	3	8
26-Oct-11	16	2	11
26-Oct-11	17	5	30
26-Oct-11	18	4	17
26-Oct-11	19	4	18
26-Oct-11	20	5	24
26-Oct-11	21	4	14
26-Oct-11	22	4	17
26-Oct-11	23	3	17
27-Oct-11	0	3	17
27-Oct-11	1	3	14
27-Oct-11	2	2	6
27-Oct-11	3	3	8
27-Oct-11	4	3	11
27-Oct-11	5	3	11
27-Oct-11	6	3	9
27-Oct-11	7	3	16
27-Oct-11	8	3	25
27-Oct-11	9	2	33
27-Oct-11	10	2	35
27-Oct-11	11	3	36
27-Oct-11	12	2	13
27-Oct-11	13	1	7
27-Oct-11	14	1	7
27-Oct-11	15	2	15
27-Oct-11	16	1	17
27-Oct-11	17	1	3
27-Oct-11	18	1	8
27-Oct-11	19	1	6
27-Oct-11	20	1	6
27-Oct-11	21	2	7
27-Oct-11	22	2	10
27-Oct-11	23	2	12
28-Oct-11	0	2	14
28-Oct-11	1	2	7
28-Oct-11	2	4	7
28-Oct-11	3	1	2
28-Oct-11	4	1	2
28-Oct-11	5	1	1
28-Oct-11	6	3	3
28-Oct-11	7	3	10
28-Oct-11	8	2	25
28-Oct-11	9	2	27
28-Oct-11	10	3	33
28-Oct-11	11	3	36
28-Oct-11	12	1	29
28-Oct-11	13	1	30
28-Oct-11	14	1	11
28-Oct-11	15	1	20
28-Oct-11	16	1	20
28-Oct-11	17	1	19
28-Oct-11	20	1	4
28-Oct-11	21	1	6
28-Oct-11	22	2	8
28-Oct-11	23	1	4
29-Oct-11	0	1	1
29-Oct-11	1	1	4
29-Oct-11	2	3	10
29-Oct-11	3	6	13
29-Oct-11	4	7	21
29-Oct-11	5	5	25
29-Oct-11	6	6	40
29-Oct-11	7	4	47
29-Oct-11	8	3	47
29-Oct-11	9	2	35
29-Oct-11	10	1	37
29-Oct-11	13	1	4
29-Oct-11	14	1	4
29-Oct-11	17	1	8
29-Oct-11	18	1	7
29-Oct-11	19	2	17
29-Oct-11	20	1	6
29-Oct-11	21	1	4
29-Oct-11	22	3	10
29-Oct-11	23	2	10
30-Oct-11	0	2	2
30-Oct-11	1	2	13
30-Oct-11	2	1	23
30-Oct-11	3	3	32
30-Oct-11	4	3	8
30-Oct-11	5	2	13
30-Oct-11	6	2	15
30-Oct-11	7	2	15
30-Oct-11	8	1	14
30-Oct-11	9	1	13
30-Oct-11	10	1	10
30-Oct-11	14	1	4
30-Oct-11	17	1	14
30-Oct-11	18	6	61
30-Oct-11	19	6	109
30-Oct-11	20	5	75
30-Oct-11	21	5	69
30-Oct-11	22	5	80
30-Oct-11	23	6	71
31-Oct-11	0	3	166
31-Oct-11	1	2	13
31-Oct-11	2	4	31
31-Oct-11	3	3	8
31-Oct-11	4	4	12
31-Oct-11	5	5	20
31-Oct-11	6	4	16
31-Oct-11	7	3	11
31-Oct-11	8	3	12
31-Oct-11	9	2	16
31-Oct-11	10	2	13
31-Oct-11	11	1	1
31-Oct-11	14	1	4
31-Oct-11	15	1	8
31-Oct-11	16	2	50
31-Oct-11	17	6	100
31-Oct-11	18	5	113
31-Oct-11	19	4	104
31-Oct-11	20	3	86
31-Oct-11	21	4	28
31-Oct-11	22	5	19
31-Oct-11	23	3	21
1-Nov-11	0	4	20
1-Nov-11	1	1	10
1-Nov-11	2	1	3
1-Nov-11	3	2	2
1-Nov-11	4	3	8
1-Nov-11	5	2	6
1-Nov-11	6	1	5
1-Nov-11	7	2	5
1-Nov-11	8	2	2
1-Nov-11	12	1	10
1-Nov-11	13	1	5
3-Nov-11	15	1	49
3-Nov-11	16	2	43
3-Nov-11	17	4	52
3-Nov-11	18	3	66
3-Nov-11	19	3	75
