date	hour	nb_streamer	nb_spec
17-Oct-11	12	1	15
17-Oct-11	13	1	17
17-Oct-11	14	1	19
17-Oct-11	15	1	27
17-Oct-11	16	1	25
17-Oct-11	17	1	11
17-Oct-11	18	1	12
17-Oct-11	19	1	22
17-Oct-11	20	1	16
17-Oct-11	21	2	21
17-Oct-11	22	1	24
17-Oct-11	23	1	39
18-Oct-11	1	1	1
18-Oct-11	2	1	6
18-Oct-11	3	1	18
18-Oct-11	4	1	4
18-Oct-11	6	1	3
18-Oct-11	7	2	11
18-Oct-11	8	2	2
18-Oct-11	9	2	3
18-Oct-11	10	2	5
18-Oct-11	11	3	8
18-Oct-11	12	4	22
18-Oct-11	13	4	26
18-Oct-11	14	2	21
18-Oct-11	15	2	24
18-Oct-11	16	2	28
18-Oct-11	17	2	19
18-Oct-11	18	1	8
18-Oct-11	19	2	22
18-Oct-11	20	1	20
18-Oct-11	21	1	3
18-Oct-11	22	1	7
19-Oct-11	0	2	6
19-Oct-11	1	2	10
19-Oct-11	2	2	7
19-Oct-11	3	2	5
19-Oct-11	4	1	3
19-Oct-11	5	1	4
19-Oct-11	6	1	11
19-Oct-11	7	1	10
19-Oct-11	8	1	9
19-Oct-11	9	1	10
19-Oct-11	10	1	14
19-Oct-11	11	1	19
19-Oct-11	12	1	17
19-Oct-11	13	1	21
19-Oct-11	14	1	25
19-Oct-11	15	1	23
19-Oct-11	16	1	21
19-Oct-11	17	1	9
19-Oct-11	18	1	18
19-Oct-11	19	1	22
19-Oct-11	20	1	10
19-Oct-11	21	2	5
19-Oct-11	22	2	10
19-Oct-11	23	1	2
20-Oct-11	0	2	2
20-Oct-11	1	1	2
20-Oct-11	2	3	7
20-Oct-11	3	3	12
20-Oct-11	4	2	5
20-Oct-11	5	2	6
20-Oct-11	6	2	9
20-Oct-11	7	2	7
20-Oct-11	8	1	6
20-Oct-11	9	1	6
20-Oct-11	10	2	7
20-Oct-11	11	2	8
20-Oct-11	12	2	6
20-Oct-11	13	1	6
20-Oct-11	14	1	6
20-Oct-11	15	1	8
20-Oct-11	16	1	6
20-Oct-11	17	1	7
20-Oct-11	18	1	5
20-Oct-11	19	2	16
20-Oct-11	20	3	19
20-Oct-11	21	2	6
20-Oct-11	22	4	6
20-Oct-11	23	3	3
21-Oct-11	1	1	1
21-Oct-11	2	1	2
21-Oct-11	3	2	20
21-Oct-11	4	3	21
21-Oct-11	5	2	8
21-Oct-11	6	2	28
21-Oct-11	7	1	12
21-Oct-11	8	2	35
21-Oct-11	9	2	36
21-Oct-11	10	1	17
21-Oct-11	11	1	35
21-Oct-11	12	1	33
21-Oct-11	13	2	24
21-Oct-11	14	1	1
21-Oct-11	15	1	2
21-Oct-11	16	1	1
21-Oct-11	17	1	1
21-Oct-11	18	3	13
21-Oct-11	19	4	20
21-Oct-11	20	2	13
21-Oct-11	21	2	13
21-Oct-11	22	3	17
21-Oct-11	23	3	15
22-Oct-11	0	4	18
22-Oct-11	1	5	22
22-Oct-11	2	5	18
22-Oct-11	3	5	17
22-Oct-11	4	4	16
22-Oct-11	5	2	11
22-Oct-11	6	2	15
22-Oct-11	7	2	11
22-Oct-11	8	2	14
22-Oct-11	9	1	12
22-Oct-11	10	2	17
22-Oct-11	11	2	16
22-Oct-11	12	2	12
22-Oct-11	13	1	12
22-Oct-11	14	1	3
22-Oct-11	15	1	2
22-Oct-11	16	1	10
22-Oct-11	17	1	9
22-Oct-11	18	1	9
22-Oct-11	19	1	6
22-Oct-11	20	1	2
22-Oct-11	21	2	6
22-Oct-11	22	2	6
23-Oct-11	5	1	4
23-Oct-11	6	2	5
23-Oct-11	7	1	3
23-Oct-11	8	1	4
23-Oct-11	9	1	3
23-Oct-11	12	1	8
23-Oct-11	13	1	9
23-Oct-11	14	1	11
23-Oct-11	15	1	20
23-Oct-11	16	1	25
23-Oct-11	17	3	25
23-Oct-11	18	2	2
23-Oct-11	19	2	3
23-Oct-11	20	2	3
23-Oct-11	21	1	2
23-Oct-11	22	1	1
23-Oct-11	23	1	0
24-Oct-11	3	1	1
24-Oct-11	4	1	3
24-Oct-11	5	1	4
24-Oct-11	6	2	3
24-Oct-11	7	2	3
24-Oct-11	8	2	3
24-Oct-11	9	2	1
24-Oct-11	10	1	0
24-Oct-11	18	1	1
24-Oct-11	19	1	0
24-Oct-11	20	1	1
24-Oct-11	21	1	1
25-Oct-11	0	1	0
25-Oct-11	1	2	3
25-Oct-11	2	1	2
25-Oct-11	3	1	1
25-Oct-11	5	1	0
26-Oct-11	1	2	2
26-Oct-11	2	2	4
26-Oct-11	3	2	7
26-Oct-11	4	4	8
26-Oct-11	5	3	5
26-Oct-11	6	1	2
26-Oct-11	7	1	2
26-Oct-11	8	1	2
26-Oct-11	11	2	1
26-Oct-11	12	1	1
26-Oct-11	13	1	6
26-Oct-11	14	1	7
26-Oct-11	15	1	12
26-Oct-11	16	1	12
26-Oct-11	17	2	15
26-Oct-11	18	2	14
26-Oct-11	19	4	6
26-Oct-11	20	3	8
26-Oct-11	21	2	4
26-Oct-11	23	1	0
27-Oct-11	0	2	1
27-Oct-11	1	1	2
27-Oct-11	2	1	0
27-Oct-11	3	2	23
27-Oct-11	4	2	27
27-Oct-11	5	2	20
27-Oct-11	6	2	17
27-Oct-11	7	1	1
27-Oct-11	19	1	1
27-Oct-11	20	1	1
27-Oct-11	21	2	28
27-Oct-11	22	2	62
28-Oct-11	0	1	2
28-Oct-11	1	2	5
28-Oct-11	2	1	3
28-Oct-11	3	1	2
28-Oct-11	4	1	3
